Entity,Code,Year,Value
China,CHN,1990,4.321731034
China,CHN,1991,4.402391746
China,CHN,1992,4.468167076
China,CHN,1993,4.516298872
China,CHN,1994,4.580027162
China,CHN,1995,4.661106341
China,CHN,1996,4.758513956
China,CHN,1997,4.846459867
China,CHN,1998,4.920254593
China,CHN,1999,5.005259806
China,CHN,2000,5.075588881
China,CHN,2001,5.102311772
China,CHN,2002,5.041619826
China,CHN,2003,4.981735674
China,CHN,2004,4.897171023
China,CHN,2005,4.895891019
China,CHN,2006,4.910198224
China,CHN,2007,4.960491798
China,CHN,2008,4.95751991
China,CHN,2009,4.975327365
China,CHN,2010,4.9914921
China,CHN,2011,4.911144569
China,CHN,2012,4.798884623
China,CHN,2013,4.695994655
China,CHN,2014,4.742031024
China,CHN,2015,4.792088049
China,CHN,2016,4.916168758
China,CHN,2017,5.035478472
China,CHN,2018,4.977483548
China,CHN,2019,4.821512467
China,CHN,2020,4.765715916
China,CHN,2021,5.144586474
China,CHN,2022,5.593802912
China,CHN,2023,5.595563433
Indonesia,IDN,1990,3.339328124
Indonesia,IDN,1991,3.401235316
Indonesia,IDN,1992,3.476049586
Indonesia,IDN,1993,3.557657441
Indonesia,IDN,1994,3.652926998
Indonesia,IDN,1995,3.743681387
Indonesia,IDN,1996,3.852651178
Indonesia,IDN,1997,3.982997819
Indonesia,IDN,1998,4.066362237
Indonesia,IDN,1999,4.142528529
Indonesia,IDN,2000,4.202484889
Indonesia,IDN,2001,4.226241737
Indonesia,IDN,2002,4.301223181
Indonesia,IDN,2003,4.416838444
Indonesia,IDN,2004,5.019712866
Indonesia,IDN,2005,4.774333778
Indonesia,IDN,2006,4.979062226
Indonesia,IDN,2007,5.244685484
Indonesia,IDN,2008,5.568027888
Indonesia,IDN,2009,5.888619654
Indonesia,IDN,2010,6.208804408
Indonesia,IDN,2011,6.521774724
Indonesia,IDN,2012,6.725166091
Indonesia,IDN,2013,6.897114765
Indonesia,IDN,2014,7.09564792
Indonesia,IDN,2015,7.327224568
Indonesia,IDN,2016,7.585241758
Indonesia,IDN,2017,7.864098797
Indonesia,IDN,2018,8.176068915
Indonesia,IDN,2019,8.482869178
Indonesia,IDN,2020,9.038424262
Indonesia,IDN,2021,10.11651538
Indonesia,IDN,2022,9.532749777
Indonesia,IDN,2023,9.977998785
Fiji,FJI,1990,7.46651545
Fiji,FJI,1991,7.778973282
Fiji,FJI,1992,8.117677086
Fiji,FJI,1993,8.378027382
Fiji,FJI,1994,8.667481466
Fiji,FJI,1995,8.988600722
Fiji,FJI,1996,9.297396544
Fiji,FJI,1997,9.6641415
Fiji,FJI,1998,10.24139916
Fiji,FJI,1999,10.66490699
Fiji,FJI,2000,11.00865399
Fiji,FJI,2001,11.5997561
Fiji,FJI,2002,11.91001081
Fiji,FJI,2003,12.56096577
Fiji,FJI,2004,13.11437092
Fiji,FJI,2005,13.52536058
Fiji,FJI,2006,13.85381823
Fiji,FJI,2007,14.34114321
Fiji,FJI,2008,14.73803708
Fiji,FJI,2009,15.24628422
Fiji,FJI,2010,15.65227689
Fiji,FJI,2011,16.09022765
Fiji,FJI,2012,16.34748252
Fiji,FJI,2013,16.48816158
Fiji,FJI,2014,16.66763153
Fiji,FJI,2015,16.96749051
Fiji,FJI,2016,17.17946104
Fiji,FJI,2017,17.33519635
Fiji,FJI,2018,17.77690577
Fiji,FJI,2019,18.00054774
Fiji,FJI,2020,18.34883959
Fiji,FJI,2021,18.47484222
Fiji,FJI,2022,19.94722062
Fiji,FJI,2023,20.86558103
Kazakhstan,KAZ,1990,9.682329567
Kazakhstan,KAZ,1991,7.904151836
Kazakhstan,KAZ,1992,7.777006645
Kazakhstan,KAZ,1993,7.95187607
Kazakhstan,KAZ,1994,8.338229762
Kazakhstan,KAZ,1995,8.387355306
Kazakhstan,KAZ,1996,8.759859622
Kazakhstan,KAZ,1997,8.93191248
Kazakhstan,KAZ,1998,9.008597635
Kazakhstan,KAZ,1999,9.438158197
Kazakhstan,KAZ,2000,9.52271073
Kazakhstan,KAZ,2001,9.544662277
Kazakhstan,KAZ,2002,9.727365988
Kazakhstan,KAZ,2003,9.579148401
Kazakhstan,KAZ,2004,9.395025866
Kazakhstan,KAZ,2005,9.585074137
Kazakhstan,KAZ,2006,9.75009349
Kazakhstan,KAZ,2007,9.708759659
Kazakhstan,KAZ,2008,9.971303839
Kazakhstan,KAZ,2009,9.827819401
Kazakhstan,KAZ,2010,9.91200947
Kazakhstan,KAZ,2011,9.922903155
Kazakhstan,KAZ,2012,9.882095749
Kazakhstan,KAZ,2013,8.979526507
Kazakhstan,KAZ,2014,8.168435492
Kazakhstan,KAZ,2015,7.834952815
Kazakhstan,KAZ,2016,7.581144539
Kazakhstan,KAZ,2017,7.369144916
Kazakhstan,KAZ,2018,7.270253933
Kazakhstan,KAZ,2019,7.083237935
Kazakhstan,KAZ,2020,7.295439279
Kazakhstan,KAZ,2021,7.433029347
Kazakhstan,KAZ,2022,6.081927312
Kazakhstan,KAZ,2023,6.263608584
Poland,POL,1990,12.95566844
Poland,POL,1991,13.12323303
Poland,POL,1992,13.52661678
Poland,POL,1993,13.75979004
Poland,POL,1994,13.94796497
Poland,POL,1995,14.47542861
Poland,POL,1996,14.932443
Poland,POL,1997,15.22062561
Poland,POL,1998,15.42862631
Poland,POL,1999,15.80862762
Poland,POL,2000,15.87808626
Poland,POL,2001,16.11229719
Poland,POL,2002,16.23739322
Poland,POL,2003,16.60572304
Poland,POL,2004,16.7393243
Poland,POL,2005,17.19193494
Poland,POL,2006,17.36226818
Poland,POL,2007,17.37286755
Poland,POL,2008,17.43773032
Poland,POL,2009,17.38062524
Poland,POL,2010,17.30536443
Poland,POL,2011,17.45817422
Poland,POL,2012,17.87249505
Poland,POL,2013,18.30917857
Poland,POL,2014,18.75194927
Poland,POL,2015,19.70441868
Poland,POL,2016,20.04151168
Poland,POL,2017,20.91145984
Poland,POL,2018,21.63873894
Poland,POL,2019,22.01327905
Poland,POL,2020,22.12840375
Poland,POL,2021,20.62538346
Poland,POL,2022,21.39871887
Poland,POL,2023,20.99635631
Ukraine,UKR,1990,14.46523903
Ukraine,UKR,1991,15.36832532
Ukraine,UKR,1992,16.22044668
Ukraine,UKR,1993,17.24657392
Ukraine,UKR,1994,17.88681239
Ukraine,UKR,1995,18.24488002
Ukraine,UKR,1996,18.11399263
Ukraine,UKR,1997,17.78525306
Ukraine,UKR,1998,17.70649171
Ukraine,UKR,1999,18.33632718
Ukraine,UKR,2000,18.94159392
Ukraine,UKR,2001,19.29474882
Ukraine,UKR,2002,20.06303604
Ukraine,UKR,2003,20.82120926
Ukraine,UKR,2004,20.51249123
Ukraine,UKR,2005,18.58180371
Ukraine,UKR,2006,18.20709105
Ukraine,UKR,2007,18.04640609
Ukraine,UKR,2008,18.23860339
Ukraine,UKR,2009,18.49403505
Ukraine,UKR,2010,18.49071978
Ukraine,UKR,2011,18.33760683
Ukraine,UKR,2012,18.72663341
Ukraine,UKR,2013,18.90611124
Ukraine,UKR,2014,17.48123074
Ukraine,UKR,2015,16.5307783
Ukraine,UKR,2016,16.48226837
Ukraine,UKR,2017,16.79797362
Ukraine,UKR,2018,16.37923659
Ukraine,UKR,2019,16.6149997
Ukraine,UKR,2020,17.25390765
Ukraine,UKR,2021,16.17118562
Ukraine,UKR,2022,15.76679827
Ukraine,UKR,2023,17.15136874
Japan,JPN,1990,5.392443669
Japan,JPN,1991,5.633468793
Japan,JPN,1992,5.876797049
Japan,JPN,1993,6.126990274
Japan,JPN,1994,6.370640547
Japan,JPN,1995,6.771871198
Japan,JPN,1996,6.928422452
Japan,JPN,1997,7.214351968
Japan,JPN,1998,7.444958928
Japan,JPN,1999,7.792755968
Japan,JPN,2000,7.931507669
Japan,JPN,2001,8.188207395
Japan,JPN,2002,8.27072549
Japan,JPN,2003,8.493912792
Japan,JPN,2004,8.880195254
Japan,JPN,2005,9.184008664
Japan,JPN,2006,9.374418619
Japan,JPN,2007,9.605992175
Japan,JPN,2008,9.945781701
Japan,JPN,2009,10.02999867
Japan,JPN,2010,10.57248213
Japan,JPN,2011,10.854811
Japan,JPN,2012,10.98166789
Japan,JPN,2013,11.33514297
Japan,JPN,2014,11.55169476
Japan,JPN,2015,11.90739921
Japan,JPN,2016,12.28634835
Japan,JPN,2017,12.75141687
Japan,JPN,2018,13.14144518
Japan,JPN,2019,13.46245812
Japan,JPN,2020,13.50141053
Japan,JPN,2021,13.891644
Japan,JPN,2022,15.00573629
Japan,JPN,2023,15.81469952
Australia,AUS,1990,16.26572664
Australia,AUS,1991,16.23201357
Australia,AUS,1992,16.19622009
Australia,AUS,1993,16.53994479
Australia,AUS,1994,16.70100096
Australia,AUS,1995,16.55834192
Australia,AUS,1996,16.43606405
Australia,AUS,1997,16.01885178
Australia,AUS,1998,15.76201686
Australia,AUS,1999,15.43757441
Australia,AUS,2000,15.30613606
Australia,AUS,2001,15.46006213
Australia,AUS,2002,15.78802364
Australia,AUS,2003,15.80488919
Australia,AUS,2004,15.54442096
Australia,AUS,2005,15.33244774
Australia,AUS,2006,15.06395732
Australia,AUS,2007,15.14287883
Australia,AUS,2008,15.38549881
Australia,AUS,2009,15.04982618
Australia,AUS,2010,15.10412708
Australia,AUS,2011,15.05207065
Australia,AUS,2012,14.62670549
Australia,AUS,2013,14.43175299
Australia,AUS,2014,14.36989671
Australia,AUS,2015,14.50322739
Australia,AUS,2016,14.3200818
Australia,AUS,2017,14.04230103
Australia,AUS,2018,14.12292599
Australia,AUS,2019,14.51298712
Australia,AUS,2020,13.76756056
Australia,AUS,2021,14.03414021
Australia,AUS,2022,14.05630993
Australia,AUS,2023,14.02277209
Germany,DEU,1990,26.17384693
Germany,DEU,1991,26.59480245
Germany,DEU,1992,26.32318695
Germany,DEU,1993,26.69823233
Germany,DEU,1994,26.50023386
Germany,DEU,1995,26.37325148
Germany,DEU,1996,26.46311835
Germany,DEU,1997,25.74319675
Germany,DEU,1998,25.33793579
Germany,DEU,1999,25.11979537
Germany,DEU,2000,24.99558582
Germany,DEU,2001,24.70984713
Germany,DEU,2002,24.81059165
Germany,DEU,2003,24.69494032
Germany,DEU,2004,24.42788527
Germany,DEU,2005,24.62845319
Germany,DEU,2006,24.38625564
Germany,DEU,2007,24.15653151
Germany,DEU,2008,24.61988246
Germany,DEU,2009,24.64118266
Germany,DEU,2010,24.83642945
Germany,DEU,2011,24.69237085
Germany,DEU,2012,24.81475429
Germany,DEU,2013,25.17144348
Germany,DEU,2014,24.66467351
Germany,DEU,2015,25.79491616
Germany,DEU,2016,25.81473635
Germany,DEU,2017,26.09934653
Germany,DEU,2018,26.52372152
Germany,DEU,2019,26.29485368
Germany,DEU,2020,26.63239725
Germany,DEU,2021,26.88538744
Germany,DEU,2022,27.66903621
Germany,DEU,2023,27.89559445
Argentina,ARG,1990,16.40847113
Argentina,ARG,1991,16.4031759
Argentina,ARG,1992,16.64516936
Argentina,ARG,1993,16.87791858
Argentina,ARG,1994,16.69234785
Argentina,ARG,1995,17.27030704
Argentina,ARG,1996,17.61338295
Argentina,ARG,1997,17.90223129
Argentina,ARG,1998,18.24745294
Argentina,ARG,1999,18.36875219
Argentina,ARG,2000,18.00821965
Argentina,ARG,2001,18.27325176
Argentina,ARG,2002,18.34816455
Argentina,ARG,2003,18.90690446
Argentina,ARG,2004,18.51078381
Argentina,ARG,2005,18.409959
Argentina,ARG,2006,18.17232767
Argentina,ARG,2007,18.53998107
Argentina,ARG,2008,17.75836075
Argentina,ARG,2009,17.72729128
Argentina,ARG,2010,18.05639241
Argentina,ARG,2011,17.72886606
Argentina,ARG,2012,17.59890221
Argentina,ARG,2013,17.73283516
Argentina,ARG,2014,17.38792977
Argentina,ARG,2015,17.4691669
Argentina,ARG,2016,17.72634163
Argentina,ARG,2017,17.44715797
Argentina,ARG,2018,16.8458361
Argentina,ARG,2019,16.84467749
Argentina,ARG,2020,15.94688241
Argentina,ARG,2021,16.84625009
Argentina,ARG,2022,18.53946056
Argentina,ARG,2023,17.49394613
United States of America,USA,1990,19.3771954
United States of America,USA,1991,19.28035493
United States of America,USA,1992,19.00871998
United States of America,USA,1993,19.26390898
United States of America,USA,1994,19.04862923
United States of America,USA,1995,18.94380067
United States of America,USA,1996,18.54512948
United States of America,USA,1997,18.00276479
United States of America,USA,1998,17.71837798
United States of America,USA,1999,17.70973737
United States of America,USA,2000,17.58898161
United States of America,USA,2001,17.33602527
United States of America,USA,2002,17.21847879
United States of America,USA,2003,17.04734295
United States of America,USA,2004,16.55564861
United States of America,USA,2005,16.56062045
United States of America,USA,2006,16.20911865
United States of America,USA,2007,15.9611485
United States of America,USA,2008,16.09755181
United States of America,USA,2009,15.866196
United States of America,USA,2010,15.92381054
United States of America,USA,2011,15.90244054
United States of America,USA,2012,15.82871461
United States of America,USA,2013,15.80049796
United States of America,USA,2014,15.7321955
United States of America,USA,2015,15.86449318
United States of America,USA,2016,15.74840144
United States of America,USA,2017,15.86190983
United States of America,USA,2018,15.77602629
United States of America,USA,2019,15.64054897
United States of America,USA,2020,15.93088699
United States of America,USA,2021,15.71848023
United States of America,USA,2022,15.8491043
United States of America,USA,2023,15.72472
Cuba,CUB,1990,9.101806227
Cuba,CUB,1991,9.553492526
Cuba,CUB,1992,9.928606519
Cuba,CUB,1993,9.988919079
Cuba,CUB,1994,10.20438764
Cuba,CUB,1995,10.14793258
Cuba,CUB,1996,10.57786541
Cuba,CUB,1997,10.18725243
Cuba,CUB,1998,9.969254873
Cuba,CUB,1999,10.34788594
Cuba,CUB,2000,10.42116402
Cuba,CUB,2001,10.72301736
Cuba,CUB,2002,11.01344532
Cuba,CUB,2003,11.28243791
Cuba,CUB,2004,11.60439112
Cuba,CUB,2005,11.81182096
Cuba,CUB,2006,12.15718214
Cuba,CUB,2007,12.80802322
Cuba,CUB,2008,13.30070387
Cuba,CUB,2009,13.838686
Cuba,CUB,2010,14.20634109
Cuba,CUB,2011,14.12932192
Cuba,CUB,2012,14.53674188
Cuba,CUB,2013,14.49243264
Cuba,CUB,2014,15.05050311
Cuba,CUB,2015,15.12651325
Cuba,CUB,2016,15.1741923
Cuba,CUB,2017,15.36013761
Cuba,CUB,2018,15.91807154
Cuba,CUB,2019,16.51791636
Cuba,CUB,2020,17.30084839
Cuba,CUB,2021,20.02379052
Cuba,CUB,2022,16.80024184
Cuba,CUB,2023,17.82402462
Peru,PER,1990,2.6987606
Peru,PER,1991,2.799457892
Peru,PER,1992,2.930642991
Peru,PER,1993,3.166269456
Peru,PER,1994,3.373706083
Peru,PER,1995,3.671889086
Peru,PER,1996,4.003703222
Peru,PER,1997,4.075568129
Peru,PER,1998,4.188809944
Peru,PER,1999,4.292004973
Peru,PER,2000,4.228908757
Peru,PER,2001,4.201624297
Peru,PER,2002,4.216136972
Peru,PER,2003,4.411003007
Peru,PER,2004,4.549913121
Peru,PER,2005,4.452788486
Peru,PER,2006,4.338820611
Peru,PER,2007,4.475937036
Peru,PER,2008,4.638814061
Peru,PER,2009,4.688835059
Peru,PER,2010,4.754364036
Peru,PER,2011,4.721770386
Peru,PER,2012,4.70608833
Peru,PER,2013,4.687910604
Peru,PER,2014,4.646039196
Peru,PER,2015,4.653463294
Peru,PER,2016,4.929991549
Peru,PER,2017,5.511653118
Peru,PER,2018,5.944384886
Peru,PER,2019,6.265748885
Peru,PER,2020,6.215220746
Peru,PER,2021,8.176590331
Peru,PER,2022,7.628423861
Peru,PER,2023,7.804969025
Mexico,MEX,1990,3.295312824
Mexico,MEX,1991,3.401831922
Mexico,MEX,1992,3.535029451
Mexico,MEX,1993,3.642840224
Mexico,MEX,1994,3.736844068
Mexico,MEX,1995,3.830400612
Mexico,MEX,1996,3.941992502
Mexico,MEX,1997,4.003346999
Mexico,MEX,1998,4.105381991
Mexico,MEX,1999,4.132907562
Mexico,MEX,2000,4.152057071
Mexico,MEX,2001,4.248128591
