Entity,CODE,Year,Value
Albania,ALB,1990,3900
Albania,ALB,1991,3000
Albania,ALB,1992,4600
Albania,ALB,1993,5200
Albania,ALB,1994,5900
Albania,ALB,1995,5800
Albania,ALB,1996,4800
Albania,ALB,1997,6000
Albania,ALB,1998,6000
Albania,ALB,1999,5900
Albania,ALB,2000,6200
Albania,ALB,2001,6500
Albania,ALB,2002,6700
Albania,ALB,2003,7000
Albania,ALB,2004,7200
Albania,ALB,2005,7500
Albania,ALB,2006,5374
Albania,ALB,2007,7000
Albania,ALB,2008,5470
Albania,ALB,2009,6482
Albania,ALB,2010,9726
Albania,ALB,2011,9400
Albania,ALB,2012,8900
Albania,ALB,2013,9480
Albania,ALB,2014,11520
Albania,ALB,2015,12006.16
Albania,ALB,2016,16345
Albania,ALB,2017,13867.85
Albania,ALB,2018,18483
Albania,ALB,2019,18923
Albania,ALB,2020,22315
Albania,ALB,2021,30911.6
Algeria,DZA,1969,2000
Algeria,DZA,1970,4000
Algeria,DZA,1971,6000
Algeria,DZA,1972,8000
Algeria,DZA,1973,10000
Algeria,DZA,1974,13000
Algeria,DZA,1975,16000
Algeria,DZA,1976,18000
Algeria,DZA,1977,20000
Algeria,DZA,1978,23000
Algeria,DZA,1979,25000
Algeria,DZA,1980,26900
Algeria,DZA,1981,27370
Algeria,DZA,1982,35444
Algeria,DZA,1983,36754
Algeria,DZA,1984,32850
Algeria,DZA,1985,47041
Algeria,DZA,1986,53855
Algeria,DZA,1987,54254
Algeria,DZA,1988,45530
Algeria,DZA,1989,67310
Algeria,DZA,1990,68273
Algeria,DZA,1991,70104
Algeria,DZA,1992,88075
Algeria,DZA,1993,77405
Algeria,DZA,1994,100445
Algeria,DZA,1995,87261
Algeria,DZA,1996,87300
Algeria,DZA,1997,82082
Algeria,DZA,1998,86912
Algeria,DZA,1999,92064
Algeria,DZA,2000,94882
Algeria,DZA,2001,87541
Algeria,DZA,2002,101112
Algeria,DZA,2003,121684
Algeria,DZA,2004,158180
Algeria,DZA,2005,188500
Algeria,DZA,2006,157505
Algeria,DZA,2007,161603
Algeria,DZA,2008,151202
Algeria,DZA,2009,189887
Algeria,DZA,2010,222669
Algeria,DZA,2011,213699
Algeria,DZA,2012,227789
Algeria,DZA,2013,260913
Algeria,DZA,2014,285292.7
Algeria,DZA,2015,302449
Algeria,DZA,2016,271054
Algeria,DZA,2017,307861
Algeria,DZA,2018,388875.13
Algeria,DZA,2019,420135
