Entity,CODE,Year,Value
Albania,ALB,2014,0.00
Albania,ALB,2015,1160.00
Albania,ALB,2016,1555.07
Albania,ALB,2017,1502.11
Albania,ALB,2018,1488.74
Albania,ALB,2019,1493.91
Albania,ALB,2020,1553.51
Albania,ALB,2021,1236.00
Algeria,DZA,1961,150.00
Algeria,DZA,1962,150.00
Algeria,DZA,1963,150.00
Algeria,DZA,1964,150.00
Algeria,DZA,1965,150.00
Algeria,DZA,1966,150.00
Algeria,DZA,1967,150.00
Algeria,DZA,1968,150.00
Algeria,DZA,1969,150.00
Algeria,DZA,1970,150.00
Algeria,DZA,1971,150.00
Algeria,DZA,1972,150.00
Algeria,DZA,1973,150.00
Algeria,DZA,1974,150.00
Algeria,DZA,1975,150.00
Algeria,DZA,1976,150.00
Algeria,DZA,1977,150.00
Algeria,DZA,1978,150.00
Algeria,DZA,1979,150.00
Algeria,DZA,1980,150.00
Algeria,DZA,1981,150.00
Algeria,DZA,1982,150.00
Algeria,DZA,1983,165.00
Algeria,DZA,1984,220.00
Algeria,DZA,1985,220.00
Algeria,DZA,1986,230.00
Algeria,DZA,1987,230.00
Algeria,DZA,1988,240.00
Algeria,DZA,1989,250.00
Algeria,DZA,1990,260.00
Algeria,DZA,1991,275.00
Algeria,DZA,1992,284.32
Algeria,DZA,1993,284.33
Algeria,DZA,1994,354.18
Algeria,DZA,1995,364.17
Algeria,DZA,1996,324.28
Algeria,DZA,1997,330.00
Algeria,DZA,1998,345.78
Algeria,DZA,1999,355.83
Algeria,DZA,2000,365.71
Algeria,DZA,2001,379.60
Algeria,DZA,2002,380.00
Algeria,DZA,2003,388.82
Algeria,DZA,2004,388.22
Algeria,DZA,2005,387.61
Algeria,DZA,2006,380.00
Algeria,DZA,2007,387.05
Algeria,DZA,2008,387.06
Algeria,DZA,2009,386.89
Algeria,DZA,2010,442.13
Algeria,DZA,2011,469.81
Algeria,DZA,2012,480.97
Algeria,DZA,2013,497.72
Algeria,DZA,2014,497.93
Algeria,DZA,2015,496.84
Algeria,DZA,2016,497.26
Algeria,DZA,2017,498.18
Algeria,DZA,2018,500.00
Algeria,DZA,2019,501.10
Algeria,DZA,2020,518.81
Algeria,DZA,2021,516.40
Argentina,ARG,1961,2856.00
Argentina,ARG,1962,3060.00
Argentina,ARG,1963,3345.60
Argentina,ARG,1964,3549.60
Argentina,ARG,1965,3753.60
Argentina,ARG,1966,6502.50
Argentina,ARG,1967,3927.00
Argentina,ARG,1968,4590.00
Argentina,ARG,1969,4590.00
Argentina,ARG,1970,4845.00
Argentina,ARG,1971,5610.00
Argentina,ARG,1972,6120.00
Argentina,ARG,1973,6630.00
Argentina,ARG,1974,7650.00
Argentina,ARG,1975,7140.00
Argentina,ARG,1976,6120.00
Argentina,ARG,1977,5610.00
Argentina,ARG,1978,6120.00
Argentina,ARG,1979,7038.00
Argentina,ARG,1980,12750.00
Argentina,ARG,1981,19890.00
Argentina,ARG,1982,23460.00
Argentina,ARG,1983,28560.00
Argentina,ARG,1984,33150.00
Argentina,ARG,1985,36210.00
Argentina,ARG,1986,39780.00
Argentina,ARG,1987,43758.00
Argentina,ARG,1988,39270.00
Argentina,ARG,1989,37740.00
Argentina,ARG,1990,42024.00
Argentina,ARG,1991,30921.30
Argentina,ARG,1992,41610.90
Argentina,ARG,1993,41820.00
Argentina,ARG,1994,38250.00
Argentina,ARG,1995,35700.00
Argentina,ARG,1996,33150.00
Argentina,ARG,1997,33150.00
Argentina,ARG,1998,33150.00
Argentina,ARG,1999,34680.00
Argentina,ARG,2000,34680.00
Argentina,ARG,2001,34680.00
Argentina,ARG,2002,34935.00
Argentina,ARG,2003,35190.00
Argentina,ARG,2004,35190.00
Argentina,ARG,2005,35190.00
Argentina,ARG,2006,35190.00
Argentina,ARG,2007,35700.00
Argentina,ARG,2008,35700.00
Argentina,ARG,2009,35700.00
Argentina,ARG,2010,35700.00
Argentina,ARG,2011,35700.00
Argentina,ARG,2012,36070.54
Argentina,ARG,2013,36870.54
Argentina,ARG,2014,36864.36
Argentina,ARG,2015,35284.04
Argentina,ARG,2016,34519.09
Argentina,ARG,2017,28277.21
Argentina,ARG,2018,34631.85
Argentina,ARG,2019,34733.05
Argentina,ARG,2020,34671.56
Argentina,ARG,2021,34610.09
Australia,AUS,1961,1700.00
Australia,AUS,1962,1740.00
Australia,AUS,1963,1770.00
Australia,AUS,1964,1810.00
Australia,AUS,1965,1850.00
Australia,AUS,1966,2323.00
Australia,AUS,1967,3217.00
Australia,AUS,1968,2886.00
Australia,AUS,1969,3781.00
Australia,AUS,1970,5943.00
Australia,AUS,1971,6020.00
Australia,AUS,1972,4968.00
Australia,AUS,1973,7769.00
Australia,AUS,1974,7776.00
Australia,AUS,1975,7609.00
Australia,AUS,1976,5650.00
Australia,AUS,1977,6400.00
Australia,AUS,1978,7383.00
Australia,AUS,1979,8000.00
Australia,AUS,1980,11000.00
Australia,AUS,1981,9000.00
Australia,AUS,1982,8000.00
Australia,AUS,1983,7900.00
Australia,AUS,1984,9000.00
Australia,AUS,1985,11700.00
Australia,AUS,1986,9900.00
Australia,AUS,1987,21000.00
Australia,AUS,1988,20300.00
Australia,AUS,1989,23500.00
Australia,AUS,1990,23360.00
Australia,AUS,1991,24000.00
Australia,AUS,1992,23800.00
Australia,AUS,1993,18200.00
Australia,AUS,1994,14700.00
Australia,AUS,1995,17500.00
Australia,AUS,1996,21400.00
Australia,AUS,1997,24823.00
Australia,AUS,1998,23500.00
Australia,AUS,1999,24500.00
Australia,AUS,2000,25200.00
Australia,AUS,2001,13300.00
Australia,AUS,2002,10850.00
Australia,AUS,2003,14350.00
Australia,AUS,2004,12600.00
Australia,AUS,2005,11550.00
Australia,AUS,2006,21700.00
Australia,AUS,2007,36400.00
Australia,AUS,2008,23450.00
Australia,AUS,2009,22225.00
Australia,AUS,2010,22050.00
Australia,AUS,2011,21700.00
Australia,AUS,2012,22500.00
Australia,AUS,2013,22172.41
Australia,AUS,2014,22200.03
Australia,AUS,2015,22137.50
Australia,AUS,2016,22085.00
Australia,AUS,2017,22120.00
Australia,AUS,2018,21959.93
Australia,AUS,2019,20132.59
Australia,AUS,2020,19806.88
Australia,AUS,2021,19766.59
Austria,AUT,1961,186.00
Austria,AUT,1962,231.00
Austria,AUT,1963,231.00
Austria,AUT,1964,230.00
Austria,AUT,1965,150.00
Austria,AUT,1966,180.00
Austria,AUT,1967,250.00
Austria,AUT,1968,600.00
Austria,AUT,1969,450.00
Austria,AUT,1970,453.00
Austria,AUT,1971,479.00
Austria,AUT,1972,687.00
Austria,AUT,1973,594.00
Austria,AUT,1974,629.00
Austria,AUT,1975,651.00
Austria,AUT,1976,1008.00
Austria,AUT,1977,1616.00
Austria,AUT,1978,1962.00
Austria,AUT,1979,2502.00
Austria,AUT,1980,1892.00
Austria,AUT,1981,2071.00
Austria,AUT,1982,2257.00
Austria,AUT,1983,2666.00
Austria,AUT,1984,4712.00
Austria,AUT,1985,5174.00
Austria,AUT,1986,5547.00
Austria,AUT,1987,6348.00
Austria,AUT,1988,7857.00
Austria,AUT,1989,9159.00
Austria,AUT,1990,11772.00
Austria,AUT,1991,15703.00
Austria,AUT,1992,18802.00
Austria,AUT,1993,19673.00
Austria,AUT,1994,18741.00
Austria,AUT,1995,16890.00
Austria,AUT,1996,15433.00
Austria,AUT,1997,14619.00
Austria,AUT,1998,16151.00
Austria,AUT,1999,18380.00
Austria,AUT,2000,23794.00
Austria,AUT,2001,24919.00
Austria,AUT,2002,24259.00
Austria,AUT,2003,24500.00
Austria,AUT,2004,30947.00
Austria,AUT,2005,29872.00
Austria,AUT,2006,29573.00
Austria,AUT,2007,28105.00
Austria,AUT,2008,27603.00
Austria,AUT,2009,23990.00
Austria,AUT,2010,26113.00
Austria,AUT,2011,24721.00
Austria,AUT,2012,24727.00
Austria,AUT,2013,20759.00
Austria,AUT,2014,20113.00
Austria,AUT,2015,20000.00
Austria,AUT,2016,20700.00
Austria,AUT,2017,15900.00
Austria,AUT,2018,13700.00
Austria,AUT,2019,15100.00
Austria,AUT,2020,16421.00
Barbados,BRB,1991,0.00
Barbados,BRB,1992,0.00
Barbados,BRB,1993,0.00
Barbados,BRB,1994,0.00
Barbados,BRB,1995,0.00
Barbados,BRB,1996,0.00
Barbados,BRB,1997,163.00
Barbados,BRB,1998,280.00
Barbados,BRB,1999,100.00
Barbados,BRB,2000,360.00
Barbados,BRB,2001,150.00
Barbados,BRB,2002,345.00
Barbados,BRB,2003,278.00
Barbados,BRB,2004,217.00
Barbados,BRB,2005,371.00
Barbados,BRB,2006,275.00
Barbados,BRB,2007,280.00
Barbados,BRB,2008,240.00
Barbados,BRB,2009,219.00
Barbados,BRB,2010,272.00
Barbados,BRB,2011,238.00
Barbados,BRB,2012,330.00
Barbados,BRB,2013,303.00
Barbados,BRB,2014,183.00
Barbados,BRB,2015,190.30
Barbados,BRB,2016,261.83
Barbados,BRB,2017,127.01
Barbados,BRB,2018,180.78
Barbados,BRB,2019,188.04
Barbados,BRB,2020,141.00
Barbados,BRB,2021,298.00
Belgium,BEL,1961,1470.00
Belgium,BEL,1962,1466.00
Belgium,BEL,1963,1337.00
Belgium,BEL,1964,1456.00
Belgium,BEL,1965,1415.00
Belgium,BEL,1966,1548.00
Belgium,BEL,1967,2864.00
Belgium,BEL,1968,4290.00
Belgium,BEL,1969,5973.00
Belgium,BEL,1970,7046.00
Belgium,BEL,1971,7354.00
Belgium,BEL,1972,7109.00
Belgium,BEL,1973,8821.00
Belgium,BEL,1974,9996.00
Belgium,BEL,1975,10314.00
Belgium,BEL,1976,9013.00
Belgium,BEL,1977,9477.00
Belgium,BEL,1978,8461.00
Belgium,BEL,1979,9505.00
Belgium,BEL,1980,9853.00
Belgium,BEL,1981,8187.00
Belgium,BEL,1982,9300.00
Belgium,BEL,1983,10110.00
Belgium,BEL,1984,10396.00
Belgium,BEL,1985,10160.00
Belgium,BEL,1986,10000.00
Belgium,BEL,1987,9273.00
Belgium,BEL,1988,9017.00
Belgium,BEL,1989,8254.00
Belgium,BEL,1990,8302.00
