Year,Algeria,Argentina,Australia,Austria,Azerbaijan,Bangladesh,Belarus,Belgium,Brazil,Bulgaria,Canada,Chile,China,Colombia,Croatia,Cyprus,Czechia,Denmark,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Kazakhstan,Kuwait,Latvia,Lithuania,Luxembourg,Malaysia,Mexico,Morocco,Netherlands,New Zealand,North Macedonia,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Trinidad and Tobago,Turkey,Turkmenistan,USSR,Ukraine,United Arab Emirates,United Kingdom,United States,Uzbekistan,Venezuela,Vietnam
1965,1910.1326,14732.473,35395.805,19524.504,NA,NA,NA,43788.027,2344.7559,13827.843,52795.883,6752.783,2031.9971,4771.0015,NA,NA,47633.9,NA,NA,2808.4556,NA,NA,25036.959,38415.562,NA,NA,18218.738,NA,1125.2927,782.1329,3738.0635,NA,NA,NA,15252.906,16154.099,NA,NA,NA,NA,125983.68,NA,6250.1157,1059.203,33721.65,NA,NA,NA,NA,1460.7875,4010.0356,NA,24766.803,NA,NA,14424.234,NA,47226.984,NA,22977.555,NA,18456.01,NA,NA,NA,NA,NA,4797.8184,NA,NA,NA,NA,28963.09,NA,NA,41668.066,72734.26,NA,19347.014,NA
1966,2281.9224,14975.831,36529.598,20090.03,NA,NA,NA,41934.613,2486.3665,14757.899,54396.625,7133.0444,2157.3733,5224.7505,NA,NA,47890.793,NA,NA,2880.6257,NA,NA,24999.857,38168.24,NA,NA,18403.693,NA,1133.5356,742.3492,3959.8223,NA,NA,NA,16543.135,18340.178,NA,NA,NA,NA,119552.99,NA,6352.682,1475.3057,35679.16,NA,NA,NA,NA,1435.0883,4847.0728,NA,25024.969,NA,NA,15306.275,NA,46068.15,NA,23699.17,NA,18005.387,NA,NA,NA,NA,NA,4994.6714,NA,NA,NA,NA,30381.846,NA,NA,41361.805,76081.81,NA,18897.973,NA
1967,2096.2075,15172.236,38078.816,20070.238,NA,NA,NA,43791.312,2499.5444,17128.357,56342.754,7141.793,1897.1614,5318.5605,NA,NA,47090.625,NA,NA,2368.8137,NA,NA,26836.97,37794.227,NA,NA,17502.984,NA,1134.519,705.97260000000006,4238.672,NA,NA,NA,18121.703,20956.027,NA,NA,NA,NA,116793.195,NA,6219.693,1550.9716,37274.477,NA,NA,NA,NA,1538.0332,4726.98,NA,25540.846,NA,NA,16919.57,NA,44929.094,NA,23853.74,NA,18180.576,NA,NA,NA,NA,NA,5351.3335,NA,NA,NA,NA,31676.914,NA,NA,40959.723,77607.55,NA,19245.68,NA
1968,2174.2285,15420.594,39683.492,21644.559,NA,NA,NA,48609.24,2870.9597,19326.047,59822.87,7197.7266,1856.8943,5325.0776,NA,NA,49186.14,NA,NA,2416.6606,NA,NA,27750.691,40123.46,NA,NA,18092.195,NA,1176.4385,721.0048,4536.7095,NA,NA,NA,19670.863,22847.215,NA,NA,NA,NA,125805.984,NA,6516.4336,1609.6401,41196.31,NA,NA,NA,NA,1690.4989,4638.806,NA,27274.523,NA,NA,17850.654,NA,43806.656,NA,26374.092,NA,18604.604,NA,NA,NA,NA,21869.791,5821.6846,NA,NA,NA,NA,32363.93,NA,NA,42163.05,81524.336,NA,19845.777,NA
1969,2406.913,15718.227,40417.2,23186.455,NA,NA,NA,53172.094,3075.9673,21218.32,61729.375,7569.925,2216.546,5183.4614,NA,NA,51314.95,NA,NA,1811.2345,NA,NA,30376.992,43136.92,NA,NA,19305.426,NA,1271.7704,798.989,4845.474,NA,NA,NA,21364.557,26606.885,NA,NA,NA,NA,135060.73,NA,6954.534,1678.0184,45328.902,NA,NA,NA,NA,1644.8536,4479.9263,NA,28931.902,NA,NA,20254.762,NA,42714.965,NA,27661.455,NA,18579.463,NA,11868.495,NA,NA,23225.402,6150.124,NA,NA,NA,NA,33451.69,NA,NA,43421.816,84571.11,NA,19338.299,NA
1970,2540.161,14625.066,42810.02,25611.236,NA,NA,NA,55943.594,3428.714,23650.936,65222.246,7841.5825,2784.8328,5526.6025,NA,NA,53269.44,NA,NA,2230.0723,NA,NA,32527.93,45185.83,NA,NA,20734.062,NA,1201.8425,820.8075,5578.617,NA,NA,NA,23651.61,30186.27,NA,NA,NA,NA,139754.64,3949.8076,7151.864,1728.0585,50526.875,22920.904,NA,NA,NA,1590.6919,4562.907,NA,30246.518,NA,NA,21272.86,NA,43047.36,NA,30051.303,NA,18839.334,NA,13135.114,NA,NA,25527.518,6632.385,NA,NA,NA,NA,34765.7,NA,NA,44273.38,86555.445,NA,18699.344,NA
1971,2746.7258,15273.733,43400.63,27118.22,NA,188.50717,NA,54719.27,3766.228,24470.732,65542.64,8280.785,3218.5413,5279.92,NA,NA,56040.96,NA,NA,2223.722,NA,NA,33745.254,45635.87,NA,NA,21344.154,NA,1215.635,826.59186,5943.923,NA,NA,NA,24958.193,30989.748,NA,NA,NA,NA,133634.84,4392.222,7355.6255,1772.3291,52675.93,22543.395,NA,NA,NA,1393.2682,4486.7373,NA,31004.543,NA,NA,22103.176,NA,41157.684,NA,32376.389,NA,19698.943,NA,14085.702,NA,NA,26559.764,8244.867,NA,45042.35,NA,NA,36205.543,NA,NA,43233.445,86824.66,NA,18134.252,NA
1972,2990.6433,15226.304,44437.895,27937.443,NA,211.59084,NA,57953.848,4155.645,25071.217,68251.75,8064.4087,3385.7952,5989.312,NA,NA,56145.812,NA,NA,2450.4421,NA,NA,35544.41,47059.188,NA,NA,21967.92,NA,1265.2269,859.40314,6504.7266,NA,NA,NA,26009.44,32857.137,NA,NA,NA,NA,136108.38,4782.5913,7912.351,1876.1157,60582.566,23805.97,NA,NA,NA,1233.1646,3785.7375,NA,32440.975,NA,NA,22645.406,NA,41962.848,NA,33756.926,NA,19687.447,NA,14805.234,NA,NA,26912.842,8562.162,NA,61332.45,NA,NA,37769.867,NA,NA,43658.24,89989.51,NA,18524.922,NA
1973,3450.9258,15483.365,46764.82,29629.223,NA,260.05396,NA,58515.125,4846.895,25758.191,72601.02,7667.4336,3491.169,5549.995,NA,NA,56257.695,NA,NA,2244.9775,NA,NA,38673.355,49634.34,NA,NA,23715.98,NA,1251.0247,940.3789,7672.2925,NA,NA,NA,27299.904,36320.47,NA,NA,NA,NA,143086.86,4949.1387,8285.695,2136.605,63694.59,25098.098,NA,NA,NA,1276.4656,4235.4746,NA,32763.639,NA,NA,24408.629,NA,42461.61,NA,34828.387,NA,20575.9,NA,16762.922,NA,NA,28717.217,9965.174,NA,60049.047,NA,NA,39389.547,NA,NA,45868.734,92635.484,NA,20733.504,NA
1974,3790.4724,15496.195,48821.37,28406.164,NA,274.5525,NA,56344.72,5249.5273,26246.19,72712.95,7348.8003,3517.504,6055.6826,NA,NA,56299.61,NA,NA,2476.934,NA,36323.125,37158.777,48605.73,NA,NA,24337.646,NA,1313.2267,980.9496,8459.184,NA,NA,NA,27054.16,34829.89,NA,NA,NA,NA,144202.52,4927.4478,8902.519,2217.27,59485.777,24188.096,NA,NA,NA,1353.5381,4806.4272,NA,33480.51,NA,NA,24147.434,NA,42674.324,NA,35616.195,NA,20566.533,NA,17161.668,NA,NA,25708.287,9097,NA,57084.58,NA,NA,41090.85,NA,NA,43136.934,88539.28,NA,20532.182,NA
