Entity,Code,Year,Marine protected areas (% of territorial waters)
Albania,ALB,2013,1.4
Albania,ALB,2014,1
Albania,ALB,2015,1
Albania,ALB,2016,2.7
Albania,ALB,2017,2.7
Albania,ALB,2018,2.7
Albania,ALB,2019,2.8
Albania,ALB,2020,2.8
Albania,ALB,2021,2.8
Albania,ALB,2022,2.8
Albania,ALB,2023,2.8
Albania,ALB,2024,3.4
Algeria,DZA,2013,0.1
Algeria,DZA,2014,0.3
Algeria,DZA,2015,0.1
Algeria,DZA,2016,0.1
Algeria,DZA,2017,0.1
Algeria,DZA,2018,0.1
Algeria,DZA,2019,0.1
Algeria,DZA,2020,0.1
Algeria,DZA,2021,0.1
Algeria,DZA,2022,0.1
Algeria,DZA,2023,0.1
Algeria,DZA,2024,0.1
American Samoa,ASM,2013,8.6
American Samoa,ASM,2014,8.7
American Samoa,ASM,2015,8.7
American Samoa,ASM,2016,8.7
American Samoa,ASM,2017,8.7
American Samoa,ASM,2018,8.7
American Samoa,ASM,2019,8.7
American Samoa,ASM,2020,0
American Samoa,ASM,2021,8.7
American Samoa,ASM,2022,8.7
American Samoa,ASM,2023,8.7
American Samoa,ASM,2024,8.7
Angola,AGO,2013,0
Angola,AGO,2014,0
Angola,AGO,2015,0
Angola,AGO,2016,0
Angola,AGO,2017,0
Angola,AGO,2018,0
Angola,AGO,2019,0
Angola,AGO,2020,0
Angola,AGO,2021,0
Angola,AGO,2022,0
Angola,AGO,2023,0
Angola,AGO,2024,0
Antigua and Barbuda,ATG,2013,0.1
Antigua and Barbuda,ATG,2014,0.2
Antigua and Barbuda,ATG,2015,0.2
Antigua and Barbuda,ATG,2016,0.2
Antigua and Barbuda,ATG,2017,0.2
Antigua and Barbuda,ATG,2018,0.2
Antigua and Barbuda,ATG,2019,0.2
Antigua and Barbuda,ATG,2020,0.3
Antigua and Barbuda,ATG,2021,0.3
Antigua and Barbuda,ATG,2022,0.3
Antigua and Barbuda,ATG,2023,0.3
Antigua and Barbuda,ATG,2024,0.7
Argentina,ARG,2013,0.3
Argentina,ARG,2014,3.8
Argentina,ARG,2015,4
Argentina,ARG,2016,4
Argentina,ARG,2017,4
Argentina,ARG,2018,3.8
Argentina,ARG,2019,11.8
Argentina,ARG,2020,11.8
Argentina,ARG,2021,11.8
Argentina,ARG,2022,11.8
Argentina,ARG,2023,11.8
Argentina,ARG,2024,12
Aruba,ABW,2013,0
Aruba,ABW,2014,0
Aruba,ABW,2015,0
Aruba,ABW,2016,0
Aruba,ABW,2017,0
Aruba,ABW,2018,0
Aruba,ABW,2019,0
Aruba,ABW,2020,0
Aruba,ABW,2021,0
Aruba,ABW,2022,0
Aruba,ABW,2023,0
Aruba,ABW,2024,0
Australia,AUS,2013,43.9
Australia,AUS,2014,44
Australia,AUS,2015,43.2
Australia,AUS,2016,40.7
Australia,AUS,2017,40.6
Australia,AUS,2018,40.6
Australia,AUS,2019,40.8
Australia,AUS,2020,40.8
Australia,AUS,2021,44.3
Australia,AUS,2022,44.3
Australia,AUS,2023,44.3
Australia,AUS,2024,45.4
Azerbaijan,AZE,2013,0.4
Azerbaijan,AZE,2014,0.4
Azerbaijan,AZE,2015,0.4
Azerbaijan,AZE,2016,0.4
Azerbaijan,AZE,2017,0.4
Azerbaijan,AZE,2018,0.4
Azerbaijan,AZE,2019,0.4
Azerbaijan,AZE,2020,0.4
Azerbaijan,AZE,2021,0.4
Azerbaijan,AZE,2022,0.4
Azerbaijan,AZE,2023,0.4
Azerbaijan,AZE,2024,1
Bahamas,BHS,2013,0.2
Bahamas,BHS,2014,0.2
Bahamas,BHS,2015,0.6
Bahamas,BHS,2016,0.6
Bahamas,BHS,2017,7.9
Bahamas,BHS,2018,7.9
Bahamas,BHS,2019,7.9
Bahamas,BHS,2020,7.9
Bahamas,BHS,2021,7.9
Bahamas,BHS,2022,7.9
Bahamas,BHS,2023,7.9
Bahamas,BHS,2024,7.7
Bahrain,BHR,2013,6.4
Bahrain,BHR,2014,6.4
Bahrain,BHR,2015,1.2
Bahrain,BHR,2016,1.2
Bahrain,BHR,2017,1.2
Bahrain,BHR,2018,1.2
Bahrain,BHR,2019,1.2
Bahrain,BHR,2020,1.2
Bahrain,BHR,2021,1.2
Bahrain,BHR,2022,21.1
Bahrain,BHR,2023,21.1
Bahrain,BHR,2024,21.4
Bangladesh,BGD,2013,1.4
Bangladesh,BGD,2014,5.4
Bangladesh,BGD,2015,5.4
Bangladesh,BGD,2016,5.4
Bangladesh,BGD,2017,5.4
Bangladesh,BGD,2018,5.4
Bangladesh,BGD,2019,5.4
Bangladesh,BGD,2020,5.4
Bangladesh,BGD,2021,5.4
Bangladesh,BGD,2022,5.4
Bangladesh,BGD,2023,8
Bangladesh,BGD,2024,8
Barbados,BRB,2013,0
Barbados,BRB,2014,0
Barbados,BRB,2015,0
Barbados,BRB,2016,0
Barbados,BRB,2017,0
Barbados,BRB,2018,0
Barbados,BRB,2019,0
Barbados,BRB,2020,0
Barbados,BRB,2021,0
Barbados,BRB,2022,0
Barbados,BRB,2023,0
Barbados,BRB,2024,0
Belgium,BEL,2013,36.7
Belgium,BEL,2014,36.6
Belgium,BEL,2015,36.6
Belgium,BEL,2016,36.7
Belgium,BEL,2017,36.6
Belgium,BEL,2018,36.7
Belgium,BEL,2019,36.7
Belgium,BEL,2020,36.7
Belgium,BEL,2021,38.1
Belgium,BEL,2022,38.1
Belgium,BEL,2023,38.1
Belgium,BEL,2024,38.3
Belize,BLZ,2013,6.9
Belize,BLZ,2014,10.1
Belize,BLZ,2015,10.1
Belize,BLZ,2016,10.1
Belize,BLZ,2017,10.1
Belize,BLZ,2018,10.1
Belize,BLZ,2019,10.1
Belize,BLZ,2020,11
Belize,BLZ,2021,11
Belize,BLZ,2022,11
Belize,BLZ,2023,11
Belize,BLZ,2024,20.4
Benin,BEN,2013,0
Benin,BEN,2014,0
Benin,BEN,2015,0
Benin,BEN,2016,0
Benin,BEN,2017,0
Benin,BEN,2018,0
Benin,BEN,2019,0
Benin,BEN,2020,0
Benin,BEN,2021,0
Benin,BEN,2022,0
Benin,BEN,2023,0
Benin,BEN,2024,0
Bermuda,BMU,2013,0
Bermuda,BMU,2014,0
Bermuda,BMU,2015,0
Bermuda,BMU,2016,0
Bermuda,BMU,2017,0
Bermuda,BMU,2018,0
Bermuda,BMU,2019,0
Bermuda,BMU,2020,0
Bermuda,BMU,2021,0
Bermuda,BMU,2022,0
Bermuda,BMU,2023,0
Bermuda,BMU,2024,0
Bosnia and Herzegovina,BIH,2013,0
Bosnia and Herzegovina,BIH,2014,0
Bosnia and Herzegovina,BIH,2015,0
Bosnia and Herzegovina,BIH,2016,0
Bosnia and Herzegovina,BIH,2017,0
Bosnia and Herzegovina,BIH,2018,0
Bosnia and Herzegovina,BIH,2019,0
Bosnia and Herzegovina,BIH,2020,0
Bosnia and Herzegovina,BIH,2021,0
Bosnia and Herzegovina,BIH,2022,0
Bosnia and Herzegovina,BIH,2023,0
Bosnia and Herzegovina,BIH,2024,0
Brazil,BRA,2013,1.3
Brazil,BRA,2014,1.6
Brazil,BRA,2015,1.6
Brazil,BRA,2016,1.7
Brazil,BRA,2017,1.7
Brazil,BRA,2018,26.6
