Entity,Code,Year,Apricots | 00000526 || Production | 005510 || tonnes
Afghanistan,AFG,1961,32000
Afghanistan,AFG,1962,32000
Afghanistan,AFG,1963,32000
Afghanistan,AFG,1964,39200
Afghanistan,AFG,1965,43400
Afghanistan,AFG,1966,48400
Afghanistan,AFG,1967,58700
Afghanistan,AFG,1968,59400
Afghanistan,AFG,1969,60000
Afghanistan,AFG,1970,58100
Afghanistan,AFG,1971,45700
Afghanistan,AFG,1972,56500
Afghanistan,AFG,1973,58800
Afghanistan,AFG,1974,59200
Afghanistan,AFG,1975,59500
Afghanistan,AFG,1976,55700
Afghanistan,AFG,1977,33100
Afghanistan,AFG,1978,48300
Afghanistan,AFG,1979,46000
Afghanistan,AFG,1980,47500
Afghanistan,AFG,1981,47100
Afghanistan,AFG,1982,45400
Afghanistan,AFG,1983,44300
Afghanistan,AFG,1984,42500
Afghanistan,AFG,1985,40700
Afghanistan,AFG,1986,41300
Afghanistan,AFG,1987,35300
Afghanistan,AFG,1988,35900
Afghanistan,AFG,1989,36100
Afghanistan,AFG,1990,36030
Afghanistan,AFG,1991,36708.45
Afghanistan,AFG,1992,36700
Afghanistan,AFG,1993,37000
Afghanistan,AFG,1994,37665.37
Afghanistan,AFG,1995,37500
Afghanistan,AFG,1996,39368.08
Afghanistan,AFG,1997,40131.31
Afghanistan,AFG,1998,40990.15
Afghanistan,AFG,1999,41855.98
Afghanistan,AFG,2000,42840.3
Afghanistan,AFG,2001,38000
Afghanistan,AFG,2002,45758.33
Afghanistan,AFG,2003,50291.56
Afghanistan,AFG,2004,36840.16
Afghanistan,AFG,2005,49623.01
Afghanistan,AFG,2006,50000
Afghanistan,AFG,2007,58000
Afghanistan,AFG,2008,59558.73
Afghanistan,AFG,2009,60000
Afghanistan,AFG,2010,66560
Afghanistan,AFG,2011,67995.24
Afghanistan,AFG,2012,83500
Afghanistan,AFG,2013,90000
Afghanistan,AFG,2014,90000
Afghanistan,AFG,2015,87686
Afghanistan,AFG,2016,17894
Afghanistan,AFG,2017,131816
Afghanistan,AFG,2018,109086
Afghanistan,AFG,2019,129363
Afghanistan,AFG,2020,131788
Afghanistan,AFG,2021,207490
Afghanistan,AFG,2022,170508
Afghanistan,AFG,2023,155429.38
Albania,ALB,1961,900
Albania,ALB,1962,700
Albania,ALB,1963,600
Albania,ALB,1964,600
Albania,ALB,1965,600
Albania,ALB,1966,600
Albania,ALB,1967,500
Albania,ALB,1968,600
