Entity,Code,Year,Artichokes | 00000366 || Production | 005510 || tonnes
Algeria,DZA,1961,38000
Algeria,DZA,1962,37000
Algeria,DZA,1963,40000
Algeria,DZA,1964,28000
Algeria,DZA,1965,44000
Algeria,DZA,1966,31553
Algeria,DZA,1967,26945
Algeria,DZA,1968,31733
Algeria,DZA,1969,29838
Algeria,DZA,1970,39136
Algeria,DZA,1971,44974
Algeria,DZA,1972,18737
Algeria,DZA,1973,29361
Algeria,DZA,1974,29478
Algeria,DZA,1975,27068
Algeria,DZA,1976,34349
Algeria,DZA,1977,17768
Algeria,DZA,1978,20616
Algeria,DZA,1979,22248
Algeria,DZA,1980,13922
Algeria,DZA,1981,8054
Algeria,DZA,1982,3740
Algeria,DZA,1983,8770
Algeria,DZA,1984,10464
Algeria,DZA,1985,3100
Algeria,DZA,1986,4485
Algeria,DZA,1987,5980
Algeria,DZA,1988,6248
Algeria,DZA,1989,7615
Algeria,DZA,1990,6250
Algeria,DZA,1991,4703
Algeria,DZA,1992,7588
Algeria,DZA,1993,4872
Algeria,DZA,1994,5687
Algeria,DZA,1995,7169
Algeria,DZA,1996,19400
Algeria,DZA,1997,31052
Algeria,DZA,1998,45225
Algeria,DZA,1999,30132
Algeria,DZA,2000,39480
Algeria,DZA,2001,35207
Algeria,DZA,2002,34449
Algeria,DZA,2003,34721
Algeria,DZA,2004,50460
Algeria,DZA,2005,37030
Algeria,DZA,2006,25595
Algeria,DZA,2007,22856
Algeria,DZA,2008,34289
Algeria,DZA,2009,39535
Algeria,DZA,2010,47582
Algeria,DZA,2011,46808
Algeria,DZA,2012,53657
Algeria,DZA,2013,83374
Algeria,DZA,2014,81106
Algeria,DZA,2015,91592
Algeria,DZA,2016,97524
Algeria,DZA,2017,108560
Algeria,DZA,2018,124659.1
Algeria,DZA,2019,119636
Algeria,DZA,2020,126762.2
Algeria,DZA,2021,120932
Algeria,DZA,2022,124352.88
Algeria,DZA,2023,139912.08
Argentina,ARG,1961,18000
Argentina,ARG,1962,18300
Argentina,ARG,1963,14650
Argentina,ARG,1964,14050
Argentina,ARG,1965,19500
Argentina,ARG,1966,45850
Argentina,ARG,1967,52146
Argentina,ARG,1968,62400
Argentina,ARG,1969,65200
Argentina,ARG,1970,67600
Argentina,ARG,1971,69950
Argentina,ARG,1972,81500
Argentina,ARG,1973,75700
Argentina,ARG,1974,80800
Argentina,ARG,1975,83220
Argentina,ARG,1976,50000
Argentina,ARG,1977,51800
Argentina,ARG,1978,53300
Argentina,ARG,1979,55600
Argentina,ARG,1980,58800
Argentina,ARG,1981,61500
Argentina,ARG,1982,78300
Argentina,ARG,1983,76730
Argentina,ARG,1984,60900
Argentina,ARG,1985,76600
Argentina,ARG,1986,62900
Argentina,ARG,1987,76000
Argentina,ARG,1988,70000
Argentina,ARG,1989,70000
Argentina,ARG,1990,72000
Argentina,ARG,1991,71578.6
Argentina,ARG,1992,73000
Argentina,ARG,1993,73919.33
Argentina,ARG,1994,74000
Argentina,ARG,1995,75000
Argentina,ARG,1996,77573.94
Argentina,ARG,1997,77740.66
Argentina,ARG,1998,77551.14
Argentina,ARG,1999,77331.26
Argentina,ARG,2000,75425.44
Argentina,ARG,2001,73768.79
Argentina,ARG,2002,71989.13
Argentina,ARG,2003,70106.51
Argentina,ARG,2004,68140.66
Argentina,ARG,2005,66111.23
Argentina,ARG,2006,64037.8
Argentina,ARG,2007,61745.09
Argentina,ARG,2008,56698.6
Argentina,ARG,2009,54321.46
Argentina,ARG,2010,51948.33
Argentina,ARG,2011,49616.31
Argentina,ARG,2012,47356.26
Argentina,ARG,2013,45191.46
Argentina,ARG,2014,43143.14
Argentina,ARG,2015,41231.89
Argentina,ARG,2016,39478.25
Argentina,ARG,2017,37720.1
Argentina,ARG,2018,36223.82
Argentina,ARG,2019,35000
Argentina,ARG,2020,35500
Argentina,ARG,2021,35638.65
Argentina,ARG,2022,31112.01
Argentina,ARG,2023,29650.78
Belgium,BEL,2018,0
Belgium,BEL,2019,0
Belgium,BEL,2020,0
Belgium,BEL,2021,0
Belgium,BEL,2022,0
Belgium,BEL,2023,0
Bulgaria,BGR,2018,290
Bulgaria,BGR,2019,180
Bulgaria,BGR,2020,650
Bulgaria,BGR,2022,0
Chile,CHL,1961,22000
Chile,CHL,1962,24000
Chile,CHL,1963,24000
Chile,CHL,1964,25000
Chile,CHL,1965,25000
Chile,CHL,1966,26000
Chile,CHL,1967,23000
Chile,CHL,1968,21000
Chile,CHL,1969,19000
Chile,CHL,1970,17000
Chile,CHL,1971,14500
Chile,CHL,1972,13000
Chile,CHL,1973,11000
Chile,CHL,1974,11000
Chile,CHL,1975,15000
Chile,CHL,1976,14000
Chile,CHL,1977,12000
Chile,CHL,1978,12000
Chile,CHL,1979,18000
Chile,CHL,1980,18000
Chile,CHL,1981,19500
Chile,CHL,1982,20250
Chile,CHL,1983,23000
Chile,CHL,1984,29844
Chile,CHL,1985,15082
Chile,CHL,1986,16000
Chile,CHL,1987,19000
Chile,CHL,1988,15000
Chile,CHL,1989,14520
Chile,CHL,1990,20753
