Entity,Code,Year,Cherries | 00000531 || Production | 005510 || tonnes
Albania,ALB,1961,700
Albania,ALB,1962,500
Albania,ALB,1963,400
Albania,ALB,1964,400
Albania,ALB,1965,400
Albania,ALB,1966,500
Albania,ALB,1967,400
Albania,ALB,1968,500
Albania,ALB,1969,600
Albania,ALB,1970,700
Albania,ALB,1971,700
Albania,ALB,1972,700
Albania,ALB,1973,700
Albania,ALB,1974,800
Albania,ALB,1975,800
Albania,ALB,1976,850
Albania,ALB,1977,850
Albania,ALB,1978,900
Albania,ALB,1979,900
Albania,ALB,1980,800
Albania,ALB,1981,500
Albania,ALB,1982,500
Albania,ALB,1983,500
Albania,ALB,1984,400
Albania,ALB,1985,300
Albania,ALB,1986,700
Albania,ALB,1987,500
Albania,ALB,1988,500
Albania,ALB,1989,700
Albania,ALB,1990,500
Albania,ALB,1991,467.96
Albania,ALB,1992,496.33
Albania,ALB,1993,400
Albania,ALB,1994,1558.92
Albania,ALB,1995,3000
Albania,ALB,1996,5100
Albania,ALB,1997,4300
Albania,ALB,1998,4500
Albania,ALB,1999,4500
Albania,ALB,2000,5000
Albania,ALB,2001,6800
Albania,ALB,2002,6000
Albania,ALB,2003,6300
Albania,ALB,2004,6900
Albania,ALB,2005,7200
Albania,ALB,2006,7680
Albania,ALB,2007,7500
Albania,ALB,2008,8000
Albania,ALB,2009,10871
Albania,ALB,2010,12528
Albania,ALB,2011,14400
Albania,ALB,2012,16970
Albania,ALB,2013,18920
Albania,ALB,2014,17730
Albania,ALB,2015,20146.97
Albania,ALB,2016,19261
Albania,ALB,2017,19168.62
Albania,ALB,2018,19210
Albania,ALB,2019,19681
Albania,ALB,2020,20471
Albania,ALB,2021,22049.9
Albania,ALB,2022,24357
Albania,ALB,2023,19695.6
Algeria,DZA,1961,0
Algeria,DZA,1962,0
Algeria,DZA,1963,0
Algeria,DZA,1964,0
Algeria,DZA,1965,0
Algeria,DZA,1966,0
Algeria,DZA,1967,0
Algeria,DZA,1968,0
Algeria,DZA,1969,0
Algeria,DZA,1970,0
Algeria,DZA,1971,0
Algeria,DZA,1972,0
Algeria,DZA,1973,300
Algeria,DZA,1974,600
Algeria,DZA,1975,1000
Algeria,DZA,1976,1500
Algeria,DZA,1977,1925
Algeria,DZA,1978,1506
Algeria,DZA,1979,1450
Algeria,DZA,1980,2170
Algeria,DZA,1981,2508
Algeria,DZA,1982,1601
Algeria,DZA,1983,3012
Algeria,DZA,1984,2623
Algeria,DZA,1985,3051
Algeria,DZA,1986,5472
Algeria,DZA,1987,3733
Algeria,DZA,1988,3720
Algeria,DZA,1989,4459
Algeria,DZA,1990,2684
Algeria,DZA,1991,3095
Algeria,DZA,1992,4066
Algeria,DZA,1993,5056
Algeria,DZA,1994,3012
Algeria,DZA,1995,5296
Algeria,DZA,1996,3211
Algeria,DZA,1997,3345
Algeria,DZA,1998,2596
Algeria,DZA,1999,3875
Algeria,DZA,2000,4168
Algeria,DZA,2001,3000
Algeria,DZA,2002,4376
Algeria,DZA,2003,2565
Algeria,DZA,2004,3156
Algeria,DZA,2005,3081
Algeria,DZA,2006,5003
Algeria,DZA,2007,1681
Algeria,DZA,2008,4553
Algeria,DZA,2009,5839
Algeria,DZA,2010,5073
Algeria,DZA,2011,7243
Algeria,DZA,2012,7930.3
Algeria,DZA,2013,5983
Algeria,DZA,2014,8700
Algeria,DZA,2015,8949
Algeria,DZA,2016,6903
Algeria,DZA,2017,9193
Algeria,DZA,2018,8818
Algeria,DZA,2019,11237
Algeria,DZA,2020,11207
Algeria,DZA,2021,11178
Algeria,DZA,2022,11160.32
Algeria,DZA,2023,11584.51
Argentina,ARG,1961,2600
Argentina,ARG,1962,2300
Argentina,ARG,1963,2350
Argentina,ARG,1964,1870
Argentina,ARG,1965,2170
Argentina,ARG,1966,1760
Argentina,ARG,1967,1800
Argentina,ARG,1968,1860
Argentina,ARG,1969,1370
Argentina,ARG,1970,1900
Argentina,ARG,1971,1860
Argentina,ARG,1972,2800
Argentina,ARG,1973,990
Argentina,ARG,1974,2660
Argentina,ARG,1975,3030
Argentina,ARG,1976,2070
Argentina,ARG,1977,2400
Argentina,ARG,1978,2300
Argentina,ARG,1979,2700
Argentina,ARG,1980,3000
Argentina,ARG,1981,2700
Argentina,ARG,1982,1400
Argentina,ARG,1983,5000
Argentina,ARG,1984,5750
Argentina,ARG,1985,6700
Argentina,ARG,1986,3100
Argentina,ARG,1987,2300
Argentina,ARG,1988,5200
Argentina,ARG,1989,5800
Argentina,ARG,1990,5500
Argentina,ARG,1991,5600
Argentina,ARG,1992,5700
Argentina,ARG,1993,5800
Argentina,ARG,1994,6000
Argentina,ARG,1995,6061.36
Argentina,ARG,1996,6162.05
Argentina,ARG,1997,6263.96
Argentina,ARG,1998,6500
Argentina,ARG,1999,6446.01
Argentina,ARG,2000,6504.71
Argentina,ARG,2001,6560.65
Argentina,ARG,2002,6800
Argentina,ARG,2003,6668.14
Argentina,ARG,2004,6700
Argentina,ARG,2005,6731.4
Argentina,ARG,2006,6750
Argentina,ARG,2007,6800
Argentina,ARG,2008,6894.17
Argentina,ARG,2009,6992.55
Argentina,ARG,2010,7575.97
Argentina,ARG,2011,7069.84
Argentina,ARG,2012,6500
Argentina,ARG,2013,6939.63
Argentina,ARG,2014,7086.9
Argentina,ARG,2015,7114.62
Argentina,ARG,2016,7175.98
Argentina,ARG,2017,7246.45
Argentina,ARG,2018,7308.21
Argentina,ARG,2019,7364.49
Argentina,ARG,2020,7406.24
Argentina,ARG,2021,7407.4
Argentina,ARG,2022,7446.85
Argentina,ARG,2023,7486.31
Armenia,ARM,1996,3600
Armenia,ARM,1997,2700
Armenia,ARM,1998,4300
Armenia,ARM,1999,3500
Armenia,ARM,2000,3000
Armenia,ARM,2001,2000
Armenia,ARM,2002,2800
Armenia,ARM,2003,2300
Armenia,ARM,2004,3635
Armenia,ARM,2005,5059
Armenia,ARM,2006,6763
Armenia,ARM,2007,3901
Armenia,ARM,2008,6598
Armenia,ARM,2009,7682
Armenia,ARM,2010,1672
Armenia,ARM,2011,7532
Armenia,ARM,2012,10113
Armenia,ARM,2013,10212
Armenia,ARM,2014,9090
Armenia,ARM,2015,14366
Armenia,ARM,2016,12059
Armenia,ARM,2017,8414
Armenia,ARM,2018,12517
Armenia,ARM,2019,12813
Armenia,ARM,2020,10927
Armenia,ARM,2021,9609.6
Armenia,ARM,2022,11821.4
Armenia,ARM,2023,12010.8
Australia,AUS,1961,7710
Australia,AUS,1962,7710
Australia,AUS,1963,6669
Australia,AUS,1964,8065
Australia,AUS,1965,7699
Australia,AUS,1966,8615
Australia,AUS,1967,6257
Australia,AUS,1968,7649
Australia,AUS,1969,6882
Australia,AUS,1970,7336
Australia,AUS,1971,8918
Australia,AUS,1972,10946
Australia,AUS,1973,10536
Australia,AUS,1974,9266
Australia,AUS,1975,10492
Australia,AUS,1976,9709
Australia,AUS,1977,6688
Australia,AUS,1978,7263
Australia,AUS,1979,6752
Australia,AUS,1980,3900
Australia,AUS,1981,6526
Australia,AUS,1982,5447
Australia,AUS,1983,4185
Australia,AUS,1984,3467
Australia,AUS,1985,3828
Australia,AUS,1986,3948
Australia,AUS,1987,4044
Australia,AUS,1988,4567
Australia,AUS,1989,3881
Australia,AUS,1990,4708
Australia,AUS,1991,5397
Australia,AUS,1992,4761
Australia,AUS,1993,5043
Australia,AUS,1994,6400
Australia,AUS,1995,5766
Australia,AUS,1996,4783
Australia,AUS,1997,6683
Australia,AUS,1998,6985
Australia,AUS,1999,6020
Australia,AUS,2000,5835
Australia,AUS,2001,8485
Australia,AUS,2002,6702
Australia,AUS,2003,9460
Australia,AUS,2004,8174
Australia,AUS,2005,8197
Australia,AUS,2006,9783
Australia,AUS,2007,9730
Australia,AUS,2008,9800
Australia,AUS,2009,13727
Australia,AUS,2010,11810.9
Australia,AUS,2011,10475
Australia,AUS,2012,11605
Australia,AUS,2013,17720
Australia,AUS,2014,12694
Australia,AUS,2015,15547
Australia,AUS,2016,18374
Australia,AUS,2017,11532
Australia,AUS,2018,15964
Australia,AUS,2019,15941
Australia,AUS,2020,14475.3
Australia,AUS,2021,21309.94
Australia,AUS,2022,17655.96
Australia,AUS,2023,15114
Austria,AUT,1961,36029
Austria,AUT,1962,30722
Austria,AUT,1963,31126
Austria,AUT,1964,30808
Austria,AUT,1965,19638
Austria,AUT,1966,22706
Austria,AUT,1967,21418
Austria,AUT,1968,28900
Austria,AUT,1969,25709
Austria,AUT,1970,25135
Austria,AUT,1971,24513
Austria,AUT,1972,17337
Austria,AUT,1973,28562
Austria,AUT,1974,24882
Austria,AUT,1975,23590
Austria,AUT,1976,20792
Austria,AUT,1977,15541
Austria,AUT,1978,22048
Austria,AUT,1979,23470
Austria,AUT,1980,23500
Austria,AUT,1981,13028
