Entity,Code,Year,Dates | 00000577 || Production | 005510 || tonnes
Albania,ALB,2004,5800
Albania,ALB,2005,6590
Albania,ALB,2006,7900
Albania,ALB,2007,8000
Albania,ALB,2008,9000
Albania,ALB,2009,9500
Albania,ALB,2010,10921
Albania,ALB,2011,11586
Albania,ALB,2012,12120
Albania,ALB,2013,12250
Albania,ALB,2014,12180
Albania,ALB,2015,13598.54
Albania,ALB,2016,14106
Albania,ALB,2017,12977.67
Albania,ALB,2018,13423
Albania,ALB,2019,14035
Albania,ALB,2020,14571
Albania,ALB,2021,14454.5
Albania,ALB,2022,14868
Albania,ALB,2023,14916
Algeria,DZA,1961,95000
Algeria,DZA,1962,100000
Algeria,DZA,1963,130000
Algeria,DZA,1964,177167
Algeria,DZA,1965,109824
Algeria,DZA,1966,115112
Algeria,DZA,1967,155689
Algeria,DZA,1968,147680
Algeria,DZA,1969,161425
Algeria,DZA,1970,79265
Algeria,DZA,1971,143986
Algeria,DZA,1972,160075
Algeria,DZA,1973,143798
Algeria,DZA,1974,167566
Algeria,DZA,1975,181549
Algeria,DZA,1976,137029
Algeria,DZA,1977,117572
Algeria,DZA,1978,196118
Algeria,DZA,1979,208031
Algeria,DZA,1980,200756
Algeria,DZA,1981,195306
Algeria,DZA,1982,206500
Algeria,DZA,1983,181539
Algeria,DZA,1984,182700
Algeria,DZA,1985,198800
Algeria,DZA,1986,188800
Algeria,DZA,1987,224400
Algeria,DZA,1988,196060
Algeria,DZA,1989,210137
Algeria,DZA,1990,205907
Algeria,DZA,1991,209092
Algeria,DZA,1992,260515
Algeria,DZA,1993,261612
Algeria,DZA,1994,317184
Algeria,DZA,1995,285155
Algeria,DZA,1996,360637
Algeria,DZA,1997,302993
Algeria,DZA,1998,387313
Algeria,DZA,1999,427583
Algeria,DZA,2000,365616
Algeria,DZA,2001,437332
Algeria,DZA,2002,418427
Algeria,DZA,2003,492217
Algeria,DZA,2004,442600
Algeria,DZA,2005,516293
Algeria,DZA,2006,492188
Algeria,DZA,2007,526921
Algeria,DZA,2008,552765
Algeria,DZA,2009,600696
Algeria,DZA,2010,644741
Algeria,DZA,2011,724894
Algeria,DZA,2012,789357
Algeria,DZA,2013,848199
Algeria,DZA,2014,934377.2
Algeria,DZA,2015,990377
Algeria,DZA,2016,1029595.7
Algeria,DZA,2017,1058558.8
Algeria,DZA,2018,1094700
Algeria,DZA,2019,1136025
Algeria,DZA,2020,1151909.2
Algeria,DZA,2021,1188803
Algeria,DZA,2022,1244466.9
Algeria,DZA,2023,1324767
Bahrain,BHR,1961,15000
Bahrain,BHR,1962,15000
Bahrain,BHR,1963,15000
Bahrain,BHR,1964,15000
Bahrain,BHR,1965,15000
