Entity,Code,Year,Hazelnuts | 00000225 || Production | 005510 || tonnes
Armenia,ARM,2004,330
Armenia,ARM,2005,328
Armenia,ARM,2006,436
Armenia,ARM,2007,414
Armenia,ARM,2008,497
Armenia,ARM,2009,544
Armenia,ARM,2010,255
Armenia,ARM,2011,348
Armenia,ARM,2012,217
Armenia,ARM,2013,238
Armenia,ARM,2014,142
Armenia,ARM,2015,529
Armenia,ARM,2016,352
Armenia,ARM,2017,448
Armenia,ARM,2018,342
Armenia,ARM,2019,397.3
Armenia,ARM,2020,392.8
Armenia,ARM,2021,407.9
Armenia,ARM,2022,336.9
Armenia,ARM,2023,445.4
Azerbaijan,AZE,1992,9747
Azerbaijan,AZE,1993,8422
Azerbaijan,AZE,1994,7865
Azerbaijan,AZE,1995,7887
Azerbaijan,AZE,1996,7810
Azerbaijan,AZE,1997,7462
Azerbaijan,AZE,1998,9475
Azerbaijan,AZE,1999,12602
Azerbaijan,AZE,2000,13334
Azerbaijan,AZE,2001,15945
Azerbaijan,AZE,2002,16120
Azerbaijan,AZE,2003,19895
Azerbaijan,AZE,2004,5491
Azerbaijan,AZE,2005,27986
Azerbaijan,AZE,2006,24625
Azerbaijan,AZE,2007,27462
Azerbaijan,AZE,2008,27745
Azerbaijan,AZE,2009,30430
Azerbaijan,AZE,2010,29454
Azerbaijan,AZE,2011,32922
Azerbaijan,AZE,2012,29624
Azerbaijan,AZE,2013,31202
Azerbaijan,AZE,2014,30039
Azerbaijan,AZE,2015,32260
Azerbaijan,AZE,2016,34271
Azerbaijan,AZE,2017,45530.4
Azerbaijan,AZE,2018,52067.3
Azerbaijan,AZE,2019,53793.4
Azerbaijan,AZE,2020,49464.9
Azerbaijan,AZE,2021,67630.2
Azerbaijan,AZE,2022,72104.6
Azerbaijan,AZE,2023,75409.3
Belarus,BLR,1992,1000
Belarus,BLR,1993,1121.7
Belarus,BLR,1994,1207.27
Belarus,BLR,1995,1225.1
Belarus,BLR,1996,1199.52
Belarus,BLR,1997,1200
Belarus,BLR,1998,1500
Belarus,BLR,1999,1800
Belarus,BLR,2000,1632.11
Belarus,BLR,2001,1691.86
Belarus,BLR,2002,1744.71
Belarus,BLR,2003,1792.14
Belarus,BLR,2004,1465.62
Belarus,BLR,2005,1438
Belarus,BLR,2006,1401.12
Belarus,BLR,2007,1312.91
Belarus,BLR,2008,1309
Belarus,BLR,2009,1300.51
Belarus,BLR,2010,1200
Belarus,BLR,2011,1311.37
Belarus,BLR,2012,1300
Belarus,BLR,2013,1330.79
Belarus,BLR,2014,1300
Belarus,BLR,2015,1298.06
Belarus,BLR,2016,1283.23
Belarus,BLR,2017,1277.9
Belarus,BLR,2018,1275.59
Belarus,BLR,2019,1278.5
Belarus,BLR,2020,1250.19
Belarus,BLR,2021,1215.98
Belarus,BLR,2022,1248.22
Belarus,BLR,2023,1238.13
Bhutan,BTN,2020,6
Bhutan,BTN,2021,14
Bhutan,BTN,2022,13
Bhutan,BTN,2023,14.06
Bulgaria,BGR,1961,35
Bulgaria,BGR,1962,37
Bulgaria,BGR,1963,25
Bulgaria,BGR,1964,42
Bulgaria,BGR,1965,38
Bulgaria,BGR,1966,60
Bulgaria,BGR,1967,50
Bulgaria,BGR,1968,35
Bulgaria,BGR,1969,20
Bulgaria,BGR,1970,10
Bulgaria,BGR,1971,84
Bulgaria,BGR,1972,7
Bulgaria,BGR,1973,6
Bulgaria,BGR,1974,5
Bulgaria,BGR,1975,29
Bulgaria,BGR,1976,26
Bulgaria,BGR,1977,16
Bulgaria,BGR,1978,27
Bulgaria,BGR,1979,11
Bulgaria,BGR,1980,21
Bulgaria,BGR,1981,18
Bulgaria,BGR,1982,476
Bulgaria,BGR,1983,36
Bulgaria,BGR,1984,49
Bulgaria,BGR,1985,7
Bulgaria,BGR,1986,51
Bulgaria,BGR,1987,58
Bulgaria,BGR,1988,94
Bulgaria,BGR,1989,207
Bulgaria,BGR,1990,188
Bulgaria,BGR,1991,83
Bulgaria,BGR,1992,0
Bulgaria,BGR,2003,15
Bulgaria,BGR,2004,20
Bulgaria,BGR,2005,23
Bulgaria,BGR,2006,52
Bulgaria,BGR,2007,17
Bulgaria,BGR,2008,20
Bulgaria,BGR,2009,23
Bulgaria,BGR,2010,8
Bulgaria,BGR,2011,21
Bulgaria,BGR,2012,138
Bulgaria,BGR,2013,198
Bulgaria,BGR,2014,165
Bulgaria,BGR,2015,361
Bulgaria,BGR,2016,223
Bulgaria,BGR,2017,313
Bulgaria,BGR,2018,390
Bulgaria,BGR,2019,430
Bulgaria,BGR,2020,850
Bulgaria,BGR,2021,690
Bulgaria,BGR,2022,760
Bulgaria,BGR,2023,800
Cameroon,CMR,1961,0
Cameroon,CMR,1962,0
Cameroon,CMR,1963,0
Cameroon,CMR,1964,0
Cameroon,CMR,1965,0
Cameroon,CMR,1966,0
Cameroon,CMR,1967,0
Cameroon,CMR,1968,0
Cameroon,CMR,1969,0
Cameroon,CMR,1970,0
Cameroon,CMR,1971,0
Cameroon,CMR,1972,0
Cameroon,CMR,1973,0
Cameroon,CMR,1974,0
Cameroon,CMR,1975,0
Cameroon,CMR,1976,0
Cameroon,CMR,1977,0
Cameroon,CMR,1978,0
Cameroon,CMR,1979,0
Cameroon,CMR,1980,0
Cameroon,CMR,1981,0
Cameroon,CMR,1982,0
Cameroon,CMR,1983,0
Cameroon,CMR,1984,0
Cameroon,CMR,1985,0
Cameroon,CMR,1986,20
Cameroon,CMR,1987,40
Cameroon,CMR,1988,60
Cameroon,CMR,1989,80
Cameroon,CMR,1990,100
Cameroon,CMR,1999,100
Cameroon,CMR,2000,100
Cameroon,CMR,2001,100
Cameroon,CMR,2002,100
Cameroon,CMR,2003,100
Cameroon,CMR,2004,100
Cameroon,CMR,2005,100
Cameroon,CMR,2006,100
Cameroon,CMR,2007,100
Cameroon,CMR,2008,105
Cameroon,CMR,2009,107
Cameroon,CMR,2010,120
Cameroon,CMR,2011,134.34
Cameroon,CMR,2012,150
Cameroon,CMR,2013,162.42
Cameroon,CMR,2014,175.29
Cameroon,CMR,2015,158.99
Cameroon,CMR,2016,161.24
Cameroon,CMR,2017,158.95
Cameroon,CMR,2018,159.91
Cameroon,CMR,2019,161.97
Cameroon,CMR,2020,160.28
Cameroon,CMR,2021,160.72
Cameroon,CMR,2022,160.99
Cameroon,CMR,2023,160.66
Chile,CHL,1991,179.45
Chile,CHL,1992,179.81
Chile,CHL,1993,180.17
Chile,CHL,1994,180.52
Chile,CHL,1995,180.88
Chile,CHL,1996,181.23
Chile,CHL,1997,181.59
Chile,CHL,1998,181.95
Chile,CHL,1999,182.3
Chile,CHL,2000,182.66
Chile,CHL,2001,183.01
Chile,CHL,2002,183.37
