Entity,Code,Year,Pineapples | 00000574 || Production | 005510 || tonnes
Angola,AGO,1961,10000
Angola,AGO,1962,12000
Angola,AGO,1963,12000
Angola,AGO,1964,13000
Angola,AGO,1965,13000
Angola,AGO,1966,14000
Angola,AGO,1967,14000
Angola,AGO,1968,15000
Angola,AGO,1969,18000
Angola,AGO,1970,18000
Angola,AGO,1971,20000
Angola,AGO,1972,25000
Angola,AGO,1973,28000
Angola,AGO,1974,30000
Angola,AGO,1975,30000
Angola,AGO,1976,30000
Angola,AGO,1977,32000
Angola,AGO,1978,32000
Angola,AGO,1979,35000
Angola,AGO,1980,36000
Angola,AGO,1981,35000
Angola,AGO,1982,35000
Angola,AGO,1983,36000
Angola,AGO,1984,35000
Angola,AGO,1985,33000
Angola,AGO,1986,34000
Angola,AGO,1987,35000
Angola,AGO,1988,35000
Angola,AGO,1989,34000
Angola,AGO,1990,32000
Angola,AGO,1991,34000
Angola,AGO,1992,35000
Angola,AGO,1993,34000
Angola,AGO,1994,35984.64
Angola,AGO,1995,36000
Angola,AGO,1996,38000
Angola,AGO,1997,36000
Angola,AGO,1998,38000
Angola,AGO,1999,32000
Angola,AGO,2000,39000
Angola,AGO,2001,40000
Angola,AGO,2002,42623.44
Angola,AGO,2003,43831.09
Angola,AGO,2004,42942.22
Angola,AGO,2005,50000
Angola,AGO,2006,75000
Angola,AGO,2007,82361
Angola,AGO,2008,95422
Angola,AGO,2009,291943
Angola,AGO,2010,313365
Angola,AGO,2011,326352
Angola,AGO,2012,280906
Angola,AGO,2013,479357
Angola,AGO,2014,599155.94
Angola,AGO,2015,626585
Angola,AGO,2016,640550
Angola,AGO,2017,544303
Angola,AGO,2018,547063
Angola,AGO,2019,574155
Angola,AGO,2020,637630
Angola,AGO,2021,663263
Angola,AGO,2022,710530
Angola,AGO,2023,759158
Antigua and Barbuda,ATG,1961,0
Antigua and Barbuda,ATG,1962,0
Antigua and Barbuda,ATG,1963,0
Antigua and Barbuda,ATG,1964,0
Antigua and Barbuda,ATG,1965,0
Antigua and Barbuda,ATG,1966,2
Antigua and Barbuda,ATG,1967,2
Antigua and Barbuda,ATG,1968,3
Antigua and Barbuda,ATG,1969,5
Antigua and Barbuda,ATG,1970,7
Antigua and Barbuda,ATG,1971,9
Antigua and Barbuda,ATG,1972,11
Antigua and Barbuda,ATG,1973,8
Antigua and Barbuda,ATG,1974,9
Antigua and Barbuda,ATG,1975,11
Antigua and Barbuda,ATG,1976,40
Antigua and Barbuda,ATG,1977,26
Antigua and Barbuda,ATG,1978,111
Antigua and Barbuda,ATG,1979,107
Antigua and Barbuda,ATG,1980,96
Antigua and Barbuda,ATG,1981,131
Antigua and Barbuda,ATG,1982,185
Antigua and Barbuda,ATG,1983,181
Antigua and Barbuda,ATG,1984,182
Antigua and Barbuda,ATG,1985,93
Antigua and Barbuda,ATG,1986,100
Antigua and Barbuda,ATG,1987,105
Antigua and Barbuda,ATG,1988,126
Antigua and Barbuda,ATG,1989,130
Antigua and Barbuda,ATG,1990,150
Antigua and Barbuda,ATG,1991,170
Antigua and Barbuda,ATG,1992,200
Antigua and Barbuda,ATG,1993,181.69
Antigua and Barbuda,ATG,1994,168.49
Antigua and Barbuda,ATG,1995,150
Antigua and Barbuda,ATG,1996,151.17
Antigua and Barbuda,ATG,1997,151.41
Antigua and Barbuda,ATG,1998,152.82
Antigua and Barbuda,ATG,1999,154.76
Antigua and Barbuda,ATG,2000,155
Antigua and Barbuda,ATG,2001,160
Antigua and Barbuda,ATG,2002,165
Antigua and Barbuda,ATG,2003,185
Antigua and Barbuda,ATG,2004,210
Antigua and Barbuda,ATG,2005,229.77
Antigua and Barbuda,ATG,2006,250.33
Antigua and Barbuda,ATG,2007,270.18
Antigua and Barbuda,ATG,2008,289.55
Antigua and Barbuda,ATG,2009,308.5
Antigua and Barbuda,ATG,2010,327.03
Antigua and Barbuda,ATG,2011,350
Antigua and Barbuda,ATG,2012,360
Antigua and Barbuda,ATG,2013,369.87
Antigua and Barbuda,ATG,2014,386.25
Antigua and Barbuda,ATG,2015,418.49
Antigua and Barbuda,ATG,2016,357.85
Antigua and Barbuda,ATG,2017,277.82
Antigua and Barbuda,ATG,2018,166.7
Antigua and Barbuda,ATG,2019,98.66
Antigua and Barbuda,ATG,2020,46.8
Antigua and Barbuda,ATG,2021,35.32
Antigua and Barbuda,ATG,2022,1.34
Antigua and Barbuda,ATG,2023,1.36
Argentina,ARG,1961,2000
Argentina,ARG,1962,2000
Argentina,ARG,1963,2000
Argentina,ARG,1964,2000
Argentina,ARG,1965,2370
Argentina,ARG,1966,2000
Argentina,ARG,1967,1500
Argentina,ARG,1968,1230
Argentina,ARG,1969,1330
Argentina,ARG,1970,1066
Argentina,ARG,1971,2000
Argentina,ARG,1972,1240
